Наименование;Бренд;Линейка;Категория;Количество;Сумма;Общая Стоимость
"9.""ЕКСТРЕМ.ОБ`ЄМ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;948;13764;1.30483e+07
A10 ПЕРЛИННИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;983;13762;1.3528e+07
"8.""ЕКСТРЕМ.В_ДНОВЛЕННЯ"" БАЛЬЗАМ Д/ВОЛОССЯ 200МЛ 3305909000,";GLISS KUR;Бальзам;Уход за волосами;937;13605;1.27479e+07
"4.POWER ЛАК ""Н_ЖН_СТЬ КАШЕМ_РУ"" 225МЛ 3305300000,";TAFT;Лак;Стайлинг;895;13407;1.19993e+07
"4.""NUTRITIVE"" ДОВГ.ВОЛ. ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;913;13256;1.21027e+07
"4.POWER ЛАК 350МЛ ""Н_ЖН_СТЬ КАШЕМ_РУ"" 3305300000,";TAFT;Лак;Стайлинг;647;12978;8.39677e+06
ШАМПУНЬ 380МЛ ДЛЯ ЧОЛОВ_К_В З ХМЕЛЕМ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;1079;12937;1.3959e+07
3.ЗЕЛ.СЕР_Я ЛАК 350МЛ ЗСФ Д/ТОНКОГО ВОЛОССЯ 3305300000,;TAFT;Лак;Стайлинг;639;12818;8.1907e+06
ШОВК _ МАГНОЛ_Я 250МЛ 3401300000,;FA;FA-гель для душа;Гель для душа;1153;12683;1.46235e+07
3-0 ТЕМНИЙ ШОКОЛАД 3305909000,;PALETTE; SALON COLORS;Краска;642;12653;8.12323e+06
600 СВ_ТЛО-КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;341;12569;4.28603e+06
9.ШАМПУНЬ ЧОЛОВ_ЧИЙ Д/ЖИРНОГО ВОЛ. 500МЛ 3305100000,;SYOSS;Шампунь;Уход за волосами;595;12316;7.32802e+06
"2.ЧЕРВ.СЕР_Я ЛАК ЗСФ ""СЯЯННЯ Д_АМАНТ_В"" 225МЛ 3305300000,";TAFT;Лак;Стайлинг;816;12223;9.97397e+06
3.ЗЕЛ.СЕР_Я П_НА ЗСФ Д/ТОНКОГО ВОЛОССЯ 150МЛ 3305909000,;TAFT;Пена;Стайлинг;828;12204;1.01049e+07
"9.""ЕКСТРЕМ.ОБ`ЄМ"" 400МЛ ШАМПУНЬ Д/ВОЛОССЯ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;607;12115;7.35381e+06
500 СЕРЕДН_Й КАШТАН 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;352;12108;4.26202e+06
"2.""ЗАХИСТ КОЛЬОРУ"" ШАМПУНЬ Д/ВОЛОССЯ 250МЛ 3305100000,";GLISS KUR;Шампунь;Уход за волосами;814;11990;9.75986e+06
ЛАК ДЛЯ ВОЛОССЯ FIX&SMOOTH 400МЛ 3305300000,;SYOSS;Лак;Стайлинг;507;11899;6.03279e+06
C6 ХОЛОДНИЙ СЕРЕДНЬО-РУСИЙ 3305909000,;PALETTE;PALETTE;Краска;829;11780;9.76562e+06
"2.""ЗАХИСТ КОЛЬОРУ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;512;11612;5.94534e+06
200 ЧОРНИЙ 3305909000,;PERFECT MOUSSE;PERFECT MOUSSE;Краска;336;11558;3.88349e+06
891 СИНЬО-ЧОРНИЙ 3305909000,;BRILLANCE;BRILLANCE;Краска;402;11356;4.56511e+06
ШАМПУНЬ 380МЛ Д/ВОЛОССЯ ТА Т_ЛА 3305100000,;SCHAUMA;Шампунь;Уход за волосами;920;11297;1.03932e+07
A10 ПЕРЛИННИЙ БЛОНДИН 3305909000,;PALETTE;PALETTE;Краска;795;11296;8.98032e+06
ШАМПУНЬ 380МЛ 7 ТРАВ 3305100000,;SCHAUMA;Шампунь;Уход за волосами;909;11162;1.01463e+07
3.ЗЕЛ.СЕР_Я ЛАК ЗСФ Д/ТОНКОГО ВОЛОССЯ 225МЛ 3305300000,;TAFT;Лак;Стайлинг;761;11125;8.46613e+06
"1.""Р_ДКИЙ ШОВК"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;497;11003;5.46849e+06
"9.""ЕКСТРЕМ.ОБ`ЄМ"" ЕКСПРЕС-КОНДИЦ_ОНЕР 200МЛ 3305909000,";GLISS KUR;Экспресс-кондиционер;Уход за волосами;494;10937;5.40288e+06
568 КАШТАНОВИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;294;10836;3.18578e+06
657 КАШТАНОВИЙ М_ДНИЙ 3305909000,;COLOR MASK;COLOR MASK;Краска;294;10836;3.18578e+06
